scenario,commit,timestamp,mode,strategy,sql_execution,batcher,workers,writers,batch,delay_ms,capacity,prefetch,sqlbatch_max_commands,sqlbatch_delay_ms,sqlbatch_request_concurrency,dml_execute_calls,sql_commands,rows_per_execute,mean_commands_per_execute,p95_commands_per_execute,max_commands_per_execute,distribution,rows,duration_s,committed_rows_s,ack_s,p50_commit_ms,p95_commit_ms,p99_commit_ms,p50_ack_ms,p95_ack_ms,p99_ack_ms,errors,correct
"sqlbatch-distribution-multirowvalues-sqlbatch-moderateskew","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:08:57.1619777+00:00",Queue,MultiRowValues,SqlBatch,Channel,1,4,100,5,2000,800,4,1,1,90,200,222.222,2.222,4,4,ModerateSkew,20000,8.509520,2350.309,2350.309,524.442,3738.505,4265.550,524.647,3739.521,4266.061,0,True
"sqlbatch-distribution-tablevaluedparameter-native-hotparent","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:09:30.8798059+00:00",Queue,TableValuedParameter,Native,Channel,1,4,500,5,4000,2000,1,1,1,41,41,487.805,1.000,1,1,HotParent,20000,1.587036,12602.111,12602.111,380.190,644.580,665.037,380.481,647.924,666.175,0,True
"sqlbatch-distribution-tablevaluedparameter-native-moderateskew","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:09:17.3789524+00:00",Queue,TableValuedParameter,Native,Channel,1,4,500,5,4000,2000,1,1,1,47,47,425.532,1.000,1,1,ModerateSkew,20000,2.006368,9968.260,9968.260,339.853,586.948,737.854,346.532,587.125,739.144,0,True
"sqlbatch-distribution-tablevaluedparameter-sqlbatch-hotparent","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:09:49.3712282+00:00",Queue,TableValuedParameter,SqlBatch,Channel,1,4,500,5,4000,2000,4,1,1,19,43,1052.632,2.263,4,4,HotParent,20000,1.626109,12299.302,12299.302,379.257,530.070,571.644,384.916,541.298,572.323,0,True
"sqlbatch-distribution-tablevaluedparameter-sqlbatch-moderateskew","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:09:14.3266190+00:00",Queue,TableValuedParameter,SqlBatch,Channel,1,4,500,5,4000,2000,4,1,1,18,40,1111.111,2.222,4,4,ModerateSkew,20000,1.554183,12868.493,12868.493,343.594,541.526,557.991,356.394,567.059,579.216,0,True
"sqlbatch-instances-individual-native-2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:33.7718429+00:00",Queue,Individual,Native,None,2,4,1,5,1000,250,1,1,1,2000,2000,1.000,1.000,1,1,Uniform,2000,1.321605,1513.311,1513.311,7.278,13.411,541.441,7.313,13.434,541.462,0,True
"sqlbatch-instances-individual-native-4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:35.9036321+00:00",Queue,Individual,Native,None,4,4,1,5,1000,250,1,1,1,2000,2000,1.000,1.000,1,1,Uniform,2000,1.652353,1210.395,1210.395,8.753,58.092,541.047,8.846,58.529,541.154,0,True
"sqlbatch-instances-individual-sqlbatch-2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:31.9615232+00:00",Queue,Individual,SqlBatch,None,2,4,1,5,1000,250,4,1,1,500,2000,4.000,4.000,4,4,Uniform,2000,9.769893,204.711,204.711,141.272,239.615,277.236,141.290,239.672,277.248,0,True
"sqlbatch-instances-individual-sqlbatch-4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:06.8841334+00:00",Queue,Individual,SqlBatch,None,4,4,1,5,1000,250,4,1,1,529,2000,3.781,3.781,4,4,Uniform,2000,4.702244,425.329,425.329,56.333,99.334,227.411,56.370,99.378,227.513,0,True
"sqlbatch-instances-multipleinsertstatements-native-2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:09:51.7680740+00:00",Queue,MultipleInsertStatements,Native,Channel,2,4,50,5,2000,400,1,1,1,400,400,50.000,1.000,1,1,Uniform,20000,1.557052,12844.783,12844.783,194.872,352.508,378.117,194.953,352.530,378.292,0,True
"sqlbatch-instances-multipleinsertstatements-native-4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:09:54.7434906+00:00",Queue,MultipleInsertStatements,Native,Channel,4,4,50,5,2000,400,1,1,1,401,401,49.875,1.000,1,1,Uniform,20000,2.261077,8845.342,8845.342,629.292,811.714,878.518,629.433,811.795,878.567,0,True
"sqlbatch-instances-multipleinsertstatements-sqlbatch-2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:16.9497890+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,2,4,50,5,2000,400,4,1,1,191,400,104.712,2.094,3,4,Uniform,20000,3.356808,5958.042,5958.042,511.554,638.417,657.574,511.653,638.531,657.629,0,True
"sqlbatch-instances-multipleinsertstatements-sqlbatch-4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:19.6099396+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,4,4,50,5,2000,400,4,1,1,184,403,108.696,2.190,4,4,Uniform,20000,1.990374,10048.361,10048.361,533.818,676.294,843.761,534.015,676.737,843.816,0,True
"sqlbatch-lanes-individual-w4-c1-r4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:03:33.0263944+00:00",Queue,Individual,SqlBatch,None,1,4,1,5,1000,250,1,1,4,2000,2000,1.000,1.000,1,1,Uniform,2000,4.109393,486.690,486.690,30.692,38.681,55.962,30.712,38.759,55.974,0,True
"sqlbatch-lanes-individual-w4-c2-r2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:05:21.8825864+00:00",Queue,Individual,SqlBatch,None,1,4,1,5,1000,250,2,1,2,1000,2000,2.000,2.000,2,2,Uniform,2000,6.314760,316.718,316.718,43.123,78.110,111.982,43.166,78.126,112.004,0,True
"sqlbatch-lanes-individual-w8-c1-r8","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:06:00.9922290+00:00",Queue,Individual,SqlBatch,None,1,8,1,5,1000,250,1,1,8,2000,2000,1.000,1.000,1,1,Uniform,2000,2.397037,834.363,834.363,64.491,106.403,306.928,64.538,106.417,306.954,0,True
"sqlbatch-lanes-individual-w8-c2-r4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:05:06.8871870+00:00",Queue,Individual,SqlBatch,None,1,8,1,5,1000,250,2,1,4,1001,2000,1.998,1.998,2,2,Uniform,2000,4.225509,473.316,473.316,126.896,165.218,317.017,126.911,165.271,317.036,0,True
"sqlbatch-lanes-individual-w8-c4-r2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:05:46.8667618+00:00",Queue,Individual,SqlBatch,None,1,8,1,5,1000,250,4,1,2,500,2000,4.000,4.000,4,4,Uniform,2000,7.428354,269.239,269.239,234.748,290.520,416.791,234.762,290.561,416.877,0,True
"sqlbatch-lanes-multipleinsertstatements-w4-c1-r4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:04:54.9355749+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,1,4,50,5,2000,400,1,1,4,400,400,50.000,1.000,1,1,Uniform,20000,1.737200,11512.781,11512.781,107.657,294.320,354.588,107.740,294.379,354.668,0,True
